time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10,7.1,mww,,24,8.561,0.87,us,us20006uy6,2017-02-07T23:50:50.814Z,"North of Ascension Island",earthquake,8.4,1.7,,,reviewed,us,us
2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10,7.4,mww,,18,2.852,0.79,us,us10006exl,2017-02-07T23:50:43.677Z,"South Georgia Island region",earthquake,8.4,1.7,,,reviewed,us,us
2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2,mww,,14,4.823,0.9,us,us10006d5h,2017-02-07T23:50:38.119Z,"110km E of Ile Hunter, New Caledonia",earthquake,6.7,2.6,,,reviewed,us,us
2016-07-29T21:18:24.740Z,18.5429,145.5073,196,7.7,mww,,14,3.294,1.38,us,us100068jg,2017-02-07T23:50:15.901Z,"29km SW of Agrihan, Northern Mariana Islands",earthquake,7.5,1.8,,,reviewed,us,us
2016-05-28T09:46:59.780Z,-56.2409,-26.9353,78,7.2,mww,,24,5.803,0.89,us,us20005ysu,2017-02-07T23:49:54.060Z,"53km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,6.3,1.8,,,reviewed,us,us
2016-04-28T19:33:24.070Z,-16.0429,167.3786,24,7,mww,,14,0.616,1.33,us,us10005c88,2017-10-11T21:27:50.254Z,"2km N of Norsup, Vanuatu",earthquake,2.9,1.7,,,reviewed,us,us
2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8,mww,,15,1.44,0.94,us,us20005j32,2017-10-11T21:25:58.487Z,"27km SSE of Muisne, Ecuador",earthquake,5.7,3.2,,,reviewed,us,us
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,mww,,32,0.349,0.85,us,us20005iis,2017-10-11T21:25:06.765Z,"1km E of Kumamoto-shi, Japan",earthquake,4.9,1.7,,,reviewed,us,us
2016-03-02T12:49:48.110Z,-4.9521,94.3299,24,7.8,mww,,20,7.009,1.14,us,us10004u1y,2017-02-07T23:49:13.268Z,"Southwest of Sumatra, Indonesia",earthquake,7.5,1.8,,,reviewed,us,us
2016-01-30T03:25:12.220Z,53.9776,158.5463,177,7.2,mww,,17,0.958,1.19,us,us20004vvx,2017-10-11T21:21:33.844Z,"88km N of Yelizovo, Russia",earthquake,5.8,1.8,,,reviewed,us,us
2016-01-24T10:30:30.230Z,59.6363,-153.4051,129,7.1,mww,,19,0.72,2.11,us,us10004gqp,2017-10-11T21:20:46.268Z,"86km E of Old Iliamna, Alaska",earthquake,5,1.8,,,reviewed,us,us
2015-12-07T07:50:05.950Z,38.2107,72.7797,22,7.2,mww,,18,1.116,0.94,us,us100044k6,2017-10-11T21:18:27.410Z,"104km W of Murghob, Tajikistan",earthquake,5.5,1.7,,,reviewed,us,us
2015-12-04T22:25:00.110Z,-47.6165,85.0913,35,7.1,mww,,8,10.034,1.42,us,us100043z2,2017-03-10T18:26:22.212Z,"Southeast Indian Ridge",earthquake,8,1.8,,,reviewed,us,us
2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6,mww,,10,2.852,1,us,us100040x6,2016-11-10T22:02:05.964Z,"211km S of Tarauaca, Brazil",earthquake,8.5,3.1,,,reviewed,us,us
2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6,mww,,10,3.287,1.36,us,us100040ww,2017-05-22T23:03:26.992Z,"173km WNW of Iberia, Peru",earthquake,8.5,3.2,,,reviewed,us,us
2015-10-26T09:09:42.560Z,36.5244,70.3676,231,7.5,mww,,18,0.622,1.43,us,us10003re5,2017-10-11T21:15:38.714Z,"45km E of Farkhar, Afghanistan",earthquake,6.7,1.9,,,reviewed,us,us
2015-10-20T21:52:02.560Z,-14.8595,167.3028,135,7.1,mww,,11,0.592,1.02,us,us10003q0q,2017-10-11T21:15:13.732Z,"34km NE of Port-Olry, Vanuatu",earthquake,4.3,1.8,,,reviewed,us,us
2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7,mww,,13,0.903,0.93,us,us20003k7w,2017-10-11T21:12:34.378Z,"25km WNW of Illapel, Chile",earthquake,4.3,3,,,reviewed,us,us
2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3,mww,,19,0.684,1.02,us,us20003k7a,2017-10-11T21:11:29.884Z,"48km W of Illapel, Chile",earthquake,4.7,3.2,,,reviewed,us,us
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48,7,mww,,12,6.278,1.2,us,us200030kn,2017-10-11T21:10:02.188Z,"228km W of Abepura, Indonesia",earthquake,6.7,1.8,,,reviewed,us,us
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11,7,mww,,22,5.205,1.09,us,us20002yaw,2017-10-11T21:09:35.978Z,"83km WNW of Lata, Solomon Islands",earthquake,7.2,1.7,,,reviewed,us,us
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10,7,mww,,34,21.859,1.16,us,us20002qn7,2016-12-02T22:51:15.286Z,"Southern Mid-Atlantic Ridge",earthquake,10.7,1.7,,,reviewed,us,us
2015-05-30T11:23:02.110Z,27.8386,140.4931,664,7.8,mww,,12,1.675,1.12,us,us20002ki3,2016-11-13T11:55:00.602Z,"189km WNW of Chichi-shima, Japan",earthquake,9.2,1.9,,,reviewed,us,us
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,mww,,11,0.677,0.92,us,us20002ejl,2017-10-11T21:06:44.222Z,"19km SE of Kodari, Nepal",earthquake,7.4,1.7,,,reviewed,us,us
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10,7.1,mww,,11,3.835,0.7,us,us20002das,2017-10-11T21:06:29.518Z,"143km SW of Panguna, Papua New Guinea",earthquake,7.1,1.7,,,reviewed,us,us
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55,7.5,mww,,22,1.295,1.02,us,us20002bnf,2017-10-11T21:06:08.205Z,"130km SSW of Kokopo, Papua New Guinea",earthquake,6.1,1.9,,,reviewed,us,us
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,mww,,12,1.857,0.96,us,us20002926,2017-09-12T03:50:51.937Z,"36km E of Khudi, Nepal",earthquake,7.3,2.9,,,reviewed,us,us
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41,7.5,mww,,19,0.666,1.32,us,us10001rvu,2017-10-11T21:03:24.630Z,"53km SE of Kokopo, Papua New Guinea",earthquake,7,1.8,,,reviewed,us,us
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7,mww,,12,1.362,1.12,us,usc000ttkd,2016-12-02T23:15:06.728Z,"130km N of Nebe, Indonesia",earthquake,7.1,3.6,,,reviewed,us,us
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,mww,,17,11.262,0.79,us,usb000tp5q,2017-03-10T17:01:30.273Z,"Northern Mid-Atlantic Ridge",earthquake,6.8,1.4,,,reviewed,us,us
2014-11-15T02:31:41.720Z,1.8929,126.5217,45,7.1,mww,,18,1.397,0.71,us,usc000sxh8,2017-10-11T20:59:23.312Z,"154km NW of Kota Ternate, Indonesia",earthquake,5.8,1.7,,,reviewed,us,us
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,mww,,13,4.415,0.84,us,usc000stdc,2016-12-02T23:21:38.451Z,"144km NE of Ndoi Island, Fiji",earthquake,8.5,1.2,,,reviewed,us,us
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,mww,,18,1.078,0.7,us,usb000slwn,2017-10-11T20:58:16.988Z,"74km S of Intipuca, El Salvador",earthquake,5.6,1.8,,,reviewed,us,us
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,mww,,22,5.127,0.43,us,usb000sk6k,2016-12-02T23:26:52.341Z,"Southern East Pacific Rise",earthquake,8.2,2.9,,,reviewed,us,us
2014-06-23T20:53:09.700Z,51.8486,178.7352,109,7.9,mww,,22,0.133,0.71,us,usc000rki5,2017-03-09T17:33:31.804Z,"19km SE of Little Sitkin Island, Alaska",earthquake,,1.8,,,reviewed,us,us
2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5,mww,,16,3.82,1.25,us,usb000pr89,2017-02-07T23:44:34.795Z,"70km SW of Panguna, Papua New Guinea",earthquake,,3.8,,,reviewed,us,us
2014-04-18T14:27:24.920Z,17.397,-100.9723,24,7.2,mww,,46,2.25,1.2,us,usb000pq41,2017-10-11T20:50:14.709Z,"33km ESE of Petatlan, Mexico",earthquake,,1.5,,,reviewed,us,us
2014-04-13T12:36:19.230Z,-11.4633,162.0511,39,7.4,mww,,17,2.885,1,us,usc000piqj,2017-03-08T17:14:13.121Z,"112km S of Kirakira, Solomon Islands",earthquake,,1.8,,,reviewed,us,us
2014-04-12T20:14:39.300Z,-11.2701,162.1481,22.56,7.6,mww,,13,2.828,0.71,us,usc000phx5,2017-02-07T23:44:27.580Z,"93km SSE of Kirakira, Solomon Islands",earthquake,,2.8,,,reviewed,us,us
2014-04-11T07:07:23.130Z,-6.5858,155.0485,60.53,7.1,mww,,21,3.729,0.88,us,usc000pft9,2017-02-15T22:11:22.669Z,"56km WSW of Panguna, Papua New Guinea",earthquake,,3.9,,,reviewed,us,us
2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7,mww,,44,1.029,0.82,us,usc000p27i,2017-10-11T20:49:19.772Z,"53km SW of Iquique, Chile",earthquake,,3.4,,,reviewed,us,us
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25,8.2,mww,,23,0.609,0.66,us,usc000nzvd,2017-10-11T20:48:25.588Z,"94km NW of Iquique, Chile",earthquake,,1.8,,,reviewed,us,us
2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7,mww,,31,2.935,1.08,us,usb000l5zn,2016-12-02T23:58:58.844Z,"Falkland Islands region",earthquake,,2.4,,,reviewed,us,us
2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10,7.7,mww,,23,8.05,1.33,us,usb000l0gq,2017-02-07T23:43:47.889Z,"Scotia Sea",earthquake,,1.7,,,reviewed,us,us
2013-10-25T17:10:19.710Z,37.1557,144.6611,35,7.1,mww,,10,3.968,1.01,us,usc000kn4n,2017-04-06T20:14:18.920Z,"Off the east coast of Honshu, Japan",earthquake,,1.8,,,reviewed,us,us
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww,,12,3.144,1.3,us,usb000kdb4,2017-10-11T20:41:20.864Z,"4km SE of Sagbayan, Philippines",earthquake,,2.9,,,reviewed,us,us
2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40,7.1,mww,,17,4.446,0.9,us,usb000jzma,2017-10-11T20:40:21.492Z,"46km SSE of Acari, Peru",earthquake,,1.8,,,reviewed,us,us
2013-09-24T11:29:47.970Z,26.951,65.5009,15,7.7,mww,,17,7.241,0.93,us,usb000jyiv,2017-10-11T20:39:24.785Z,"61km NNE of Awaran, Pakistan",earthquake,,1.6,,,reviewed,us,us
2013-08-30T16:25:02.300Z,51.537,-175.2297,29,7,mww,,53,0.624,0.89,us,usb000jdt7,2016-12-03T00:22:20.647Z,"101km SW of Atka, Alaska",earthquake,,1.8,,,reviewed,us,us
2013-07-15T14:03:39.880Z,-60.857,-25.07,11,7.3,mww,398,43,,0.88,us,usb000ief9,2016-12-03T00:28:57.440Z,"218km SSE of Bristol Island, South Sandwich Islands",earthquake,,,,,reviewed,us,us
2013-07-07T18:35:30.740Z,-3.917,153.927,385.5,7.3,mww,117,24,,0.88,us,usb000i89z,2016-12-03T00:30:33.429Z,"115km ENE of Taron, Papua New Guinea",earthquake,,4,,,reviewed,us,us
2013-05-24T05:44:48.980Z,54.892,153.221,598.1,8.3,mww,385,10,,1.02,us,usb000h4jh,2016-12-03T00:35:07.656Z,"Sea of Okhotsk",earthquake,,4.1,,,reviewed,us,us
2013-05-23T17:19:04.750Z,-23.009,-177.232,173.7,7.4,mww,626,16,,0.85,us,usb000h3k3,2017-03-15T16:46:33.381Z,"282km SW of Vaini, Tonga",earthquake,,3.2,,,reviewed,us,us
2013-04-19T03:05:52.650Z,46.221,150.788,110,7.2,mww,770,10.1,,0.86,us,usb000gbf8,2017-10-11T20:30:52.760Z,"251km ENE of Kuril'sk, Russia",earthquake,,,,,reviewed,us,us
2013-04-16T10:44:20.180Z,28.033,61.996,80,7.7,mww,506,26.6,,1.09,us,usb000g7x7,2017-10-11T20:29:40.317Z,"83km E of Khash, Iran",earthquake,,,,,reviewed,us,us
2013-04-06T04:42:35.860Z,-3.517,138.476,66,7,mww,640,11.4,,0.81,us,usb000g13s,2017-10-11T20:28:23.198Z,"240km E of Enarotali, Indonesia",earthquake,,,,,reviewed,us,us
2013-02-08T15:26:38.470Z,-10.928,166.018,21,7.1,mww,334,16.5,,0.92,us,usc000f40j,2017-10-11T20:25:17.710Z,"31km SE of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7,mww,445,17.5,,1.22,us,usc000f1ts,2017-10-11T20:24:18.723Z,"27km NNW of Lata, Solomon Islands",earthquake,,5.5,,,reviewed,us,us
2013-02-06T01:23:19.760Z,-11.183,164.882,10,7.1,mww,550,18.4,,1.19,us,usc000f1se,2017-10-11T20:24:03.710Z,"114km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T01:12:25.830Z,-10.799,165.114,24,8,mww,460,20.9,,1.29,us,usc000f1s0,2017-10-11T20:23:41.773Z,"76km W of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-01-05T08:58:19.330Z,55.393,-134.652,10,7.5,mww,659,28.5,,1.26,us,usp000jxum,2017-10-11T20:21:09.570Z,"Southeastern Alaska",earthquake,,,,,reviewed,us,us
2012-12-10T16:53:08.770Z,-6.533,129.825,155,7.1,mww,517,8.7,,0.95,us,usp000jwt8,2016-12-07T19:07:56.311Z,"Banda Sea",earthquake,,,,,reviewed,us,us
2012-12-07T08:18:23.130Z,37.89,143.949,31,7.3,mww,918,14.8,,0.91,us,usp000jwjn,2017-10-11T20:20:27.037Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2012-11-07T16:35:46.930Z,13.988,-91.895,24,7.4,mww,751,25.5,,1.27,us,usp000jv5f,2017-10-11T20:17:50.879Z,"offshore Guatemala",earthquake,,,,,reviewed,us,us
2012-10-28T03:04:08.820Z,52.788,-132.101,14,7.8,mww,807,42.7,,0.99,us,usp000juhz,2017-10-11T20:16:52.193Z,"Haida Gwaii, Canada",earthquake,,,,,reviewed,us,us
2012-09-30T16:31:35.970Z,1.929,-76.362,170,7.3,mww,934,15.5,,0.87,us,usp000jta1,2017-10-11T20:15:25.663Z,"Colombia",earthquake,,,,,reviewed,us,us
2012-09-05T14:42:07.800Z,10.085,-85.315,35,7.6,mww,703,34.3,,1.2,us,usp000jrsw,2017-04-26T18:12:56.424Z,"Costa Rica",earthquake,,,,,reviewed,us,us
2012-08-31T12:47:33.380Z,10.811,126.638,28,7.6,mww,682,10.2,,1.02,us,usp000jr83,2017-10-11T20:14:06.897Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2012-08-27T04:37:19.430Z,12.139,-88.59,28,7.3,mww,417,37,,1.3,us,usp000jqvm,2017-10-11T20:13:30.051Z,"off the coast of El Salvador",earthquake,,,,,reviewed,us,us
2012-08-14T02:59:38.460Z,49.8,145.064,583.2,7.7,mww,862,13.8,,0.83,us,usp000jq9h,2017-10-11T20:11:35.325Z,"Sea of Okhotsk",earthquake,,2.6,,,reviewed,us,us
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,mww,474,95.9,,1.18,us,usp000jhr6,2017-10-11T20:04:26.508Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,us
2012-04-11T10:43:10.850Z,0.802,92.463,25.1,8.2,mwc,341,14.9,,0.9,us,usp000jhjb,2016-03-03T16:54:50.905Z,"off the west coast of northern Sumatra",earthquake,,7.3,,,reviewed,us,us
2012-04-11T08:38:36.720Z,2.327,93.063,20,8.6,mw,499,16.6,,1.33,official,official20120411083836720_20,2017-10-11T20:03:25.622Z,"off the west coast of northern Sumatra",earthquake,,,,,reviewed,us,official
2012-03-25T22:37:06.000Z,-35.2,-72.217,40.7,7.1,mww,553,15.2,,,us,usp000jgsw,2017-10-11T20:02:35.393Z,"Maule, Chile",earthquake,,,,,reviewed,guc,us
2012-03-20T18:02:47.440Z,16.493,-98.231,20,7.4,mww,672,37.9,,0.98,us,usp000jghj,2017-10-11T20:01:26.589Z,"Oaxaca, Mexico",earthquake,,,,,reviewed,us,us
2012-02-02T13:34:40.650Z,-17.827,167.133,23,7.1,mww,573,12,,1.07,us,usp000jeag,2017-10-11T19:58:34.017Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2012-01-10T18:36:59.080Z,2.433,93.21,19,7.2,mww,443,17,,1.09,us,usp000jdar,2017-02-07T23:40:12.958Z,"off the west coast of northern Sumatra",earthquake,,,,,reviewed,us,us
2011-12-14T05:04:58.630Z,-7.551,146.809,135,7.1,mww,485,10.6,,0.78,us,usp000jc5z,2017-04-13T22:27:02.781Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,reviewed,us,us
2011-10-23T10:41:23.250Z,38.721,43.508,18,7.1,mww,693,19.7,,0.93,us,usp000j9rr,2017-04-26T18:12:42.264Z,"eastern Turkey",earthquake,,,,,reviewed,us,us
2011-10-21T17:57:16.100Z,-28.993,-176.238,33,7.4,mww,707,14.8,,0.87,us,usp000j9nm,2017-02-07T23:39:45.655Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3,mww,646,22.2,,1.06,us,usp000j83e,2016-12-07T19:54:41.820Z,"Fiji region",earthquake,,,,,reviewed,us,us
2011-09-03T22:55:40.920Z,-20.671,169.716,185.1,7,mww,406,15.3,,0.99,us,usp000j7jb,2016-12-07T19:56:23.350Z,"Vanuatu",earthquake,,6.2,,,reviewed,us,us
2011-08-24T17:46:11.650Z,-7.641,-74.525,147,7,mww,471,26.9,,0.87,us,usp000j6z8,2017-04-13T22:26:42.474Z,"northern Peru",earthquake,,,,,reviewed,us,us
2011-08-20T18:19:23.550Z,-18.311,168.218,28,7.1,mww,564,12.3,,1.07,us,usp000j6rj,2017-04-26T18:12:29.958Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2011-08-20T16:55:02.810Z,-18.365,168.143,32,7.2,mww,280,18.4,,1.26,us,usp000j6r4,2017-04-13T22:26:40.060Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2011-07-10T00:57:10.800Z,38.034,143.264,23,7,mww,531,12.4,,1.04,us,usp000j4gp,2016-12-07T20:05:08.501Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2011-07-06T19:03:18.260Z,-29.539,-176.34,17,7.6,mww,567,33.5,,1.17,us,usp000j48h,2017-02-07T23:39:31.181Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
2011-06-24T03:09:39.470Z,52.05,-171.836,52,7.3,mww,791,15.3,,1.05,us,usp000j3mq,2016-12-07T20:08:09.554Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
2011-04-07T14:32:43.290Z,38.276,141.588,42,7.1,mww,446,17.7,,0.94,us,usp000hzf6,2017-04-26T18:12:10.065Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7,mwc,507,10.8,,0.85,us,usp000hvpg,2016-12-07T20:13:52.540Z,"off the east coast of Honshu, Japan",earthquake,,8,,,reviewed,us,us
2011-03-11T06:15:40.280Z,36.281,141.111,42.6,7.9,mwc,163,48.4,,1.44,us,usp000hvpa,2017-04-26T18:11:51.674Z,"near the east coast of Honshu, Japan",earthquake,,9.6,,,reviewed,us,us
2011-03-11T05:46:24.120Z,38.297,142.373,29,9.1,mww,541,9.5,,1.16,official,official20110311054624120_30,2017-04-26T18:11:49.381Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,official
2011-03-09T02:45:20.330Z,38.435,142.842,32,7.3,mww,550,17.4,,0.98,us,usp000hvhj,2017-04-26T18:11:47.089Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2011-01-18T20:23:23.480Z,28.777,63.951,68,7.2,mww,372,25.3,,1.3,us,usp000htb4,2017-04-13T22:25:50.351Z,"southwestern Pakistan",earthquake,,,,,reviewed,us,us
2011-01-13T16:16:41.540Z,-20.628,168.471,9,7,mww,578,13.3,,0.99,us,usp000ht15,2017-04-26T18:11:38.697Z,"Loyalty Islands, New Caledonia",earthquake,,,,,reviewed,us,us
2011-01-02T20:20:17.780Z,-38.355,-73.326,24,7.2,mww,397,30.1,,1.1,us,usp000hsfq,2017-04-13T22:25:48.400Z,"Araucania, Chile",earthquake,,,,,reviewed,us,us
2011-01-01T09:56:58.120Z,-26.803,-63.136,576.8,7,mww,607,18.4,,0.85,us,usp000hsdc,2016-12-07T20:33:49.247Z,"Santiago Del Estero, Argentina",earthquake,,,,,reviewed,us,us
2010-12-25T13:16:37.000Z,-19.702,167.947,16,7.3,mwc,409,12,,1.17,us,usp000hrw0,2017-04-26T18:11:36.977Z,"Vanuatu region",earthquake,,,,,reviewed,us,us
2010-12-21T17:19:40.660Z,26.901,143.698,14,7.4,mwc,603,13,,0.99,us,usp000hr97,2017-02-07T23:38:52.325Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,us
2010-10-25T14:42:22.460Z,-3.487,100.082,20.1,7.8,mwc,379,23,,1.17,us,usp000hnj4,2017-04-13T22:25:37.195Z,"Kepulauan Mentawai region, Indonesia",earthquake,,3.5,,,reviewed,us,gcmt
2010-09-29T17:11:25.940Z,-4.963,133.76,26,7,mwc,271,15.1,,1.31,us,usp000hmbq,2017-04-13T22:25:34.257Z,"near the south coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us
2010-09-03T16:35:47.770Z,-43.522,171.83,12,7,mwc,365,15.8,,1.3,us,usp000hk46,2017-04-26T18:11:19.944Z,"South Island of New Zealand",earthquake,,,,,reviewed,us,us
2010-08-12T11:54:15.580Z,-1.266,-77.306,206.7,7.1,mwc,672,12.4,,0.87,us,usp000hj05,2017-04-26T18:11:18.710Z,"Ecuador",earthquake,,,,,reviewed,us,us
2010-08-10T05:23:44.980Z,-17.541,168.069,25,7.3,mwc,405,20.2,,1.25,us,usp000hhuc,2017-04-13T22:25:27.409Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2010-08-04T22:01:43.620Z,-5.746,150.765,44,7,mww,396,12.7,,1.19,us,usp000hhhx,2017-04-26T18:11:18.134Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,mwc,441,17.5,,0.82,us,usp000hgmq,2016-11-10T02:31:03.641Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,gcmt
2010-07-23T22:51:11.840Z,6.497,123.48,578,7.6,mwc,340,15.1,,0.91,us,usp000hgmh,2016-11-10T02:31:03.137Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2010-07-23T22:08:11.250Z,6.718,123.409,607.1,7.3,mwc,491,16.5,,0.91,us,usp000hgmd,2016-11-10T02:31:02.624Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2010-07-18T13:34:59.360Z,-5.931,150.59,35,7.3,mwc,397,18.2,,1.16,us,usp000hfku,2017-04-26T18:11:10.714Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,gcmt
2010-06-16T03:16:27.550Z,-2.174,136.543,18,7,mwc,307,18.1,,1.27,us,usp000he3f,2017-04-26T18:11:02.712Z,"near the north coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us
2010-06-12T19:26:50.460Z,7.881,91.936,35,7.5,mwc,514,18.6,,1.1,us,usp000hdwb,2017-04-13T22:25:13.544Z,"Nicobar Islands, India region",earthquake,,,,,reviewed,us,gcmt
2010-05-27T17:14:46.570Z,-13.698,166.643,31,7.2,mwc,327,11.7,,1.08,us,usp000hd84,2017-04-26T18:10:58.107Z,"Vanuatu",earthquake,,,,,reviewed,us,gcmt
2010-05-09T05:59:41.620Z,3.748,96.018,38,7.2,mwc,611,20.6,,0.92,us,usp000hchk,2017-04-26T18:10:55.844Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
2010-04-06T22:15:01.580Z,2.383,97.048,31,7.8,mwc,352,19.2,,1.19,us,usp000hat0,2017-04-26T18:10:45.493Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,gcmt
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2017-08-29T18:24:31.570Z,"12km SW of Delta, B.C., MX",earthquake,1.81,31.61,,0,reviewed,ci,ci
2010-03-11T14:55:27.510Z,-34.326,-71.799,18,7,mwc,403,17.1,,1.02,us,usp000h94v,2017-04-13T22:24:47.726Z,"Libertador General Bernardo O'Higgins, Chile",earthquake,,,,,reviewed,us,gcmt
